completed_at,exercise_title
2025-07-14T00:00:00.000Z,Efficient summaries (2)
2025-07-13T00:00:00.000Z,Missing investors (1)
2025-07-30T00:00:00.000Z,Box plot with subgroups
2025-09-28T00:00:00.000Z,Creating new branches
2025-08-11T00:00:00.000Z,Finding outliers using IQR
2025-07-14T00:00:00.000Z,Pivot tables
2025-09-28T00:00:00.000Z,Adding a new directory
2025-09-28T00:00:00.000Z,Cloning a repo
2025-07-06T00:00:00.000Z,Inconsistent categories (1)
2025-07-28T00:00:00.000Z,"""Step"" histogram"
2025-08-21T00:00:00.000Z,Visualizing many categories (3)
2025-08-21T00:00:00.000Z,Hypothesis tests and z-scores
2025-07-22T00:00:00.000Z,When in doubt
2025-08-17T00:00:00.000Z,Setting dtypes and saving memory (3)
2025-10-05T00:00:00.000Z,Practice with COUNT() (2)
2025-08-12T00:00:00.000Z,More probability distributions
2025-08-21T00:00:00.000Z,Population & sampling distribution variation (2)
2025-08-12T00:00:00.000Z,Distribution dragging and dropping
2025-07-31T00:00:00.000Z,Detecting data types (2)
2025-07-17T00:00:00.000Z,Three table merge
2025-08-19T00:00:00.000Z,"Accuracy, sensitivity, specificity"
2025-07-29T00:00:00.000Z,Making a scatter plot with lists (2)
2025-07-13T00:00:00.000Z,Similar restaurants (3)
2025-08-20T00:00:00.000Z,Generating an approximate sampling distribution (1)
2025-11-18T00:00:00.000Z,"Add foreign keys to the ""affiliations"" table (3)"
2025-08-21T00:00:00.000Z,Calculating confidence intervals
2025-09-03T00:00:00.000Z,Visualizing and testing preservation methods
2025-07-17T00:00:00.000Z,Total riders in a month (2)
2025-08-18T00:00:00.000Z,Creating a Boolean encoding (3)
2025-11-21T00:00:00.000Z,OLAP vs. OLTP
2025-08-21T00:00:00.000Z,Decisions from p-values
2025-07-01T00:00:00.000Z,Dictionary Manipulation (1)
2025-08-19T00:00:00.000Z,Transforming the explanatory variable (4)
2025-07-17T00:00:00.000Z,Self join (1)
2025-11-18T00:00:00.000Z,Test your knowledge before advancing
2025-08-20T00:00:00.000Z,Creating a sampling distribution
2025-07-27T00:00:00.000Z,Creating small multiples with plt.subplots
2025-07-31T00:00:00.000Z,Strategies for remaining missing data (1)
2025-09-28T00:00:00.000Z,Finding the default branch
2025-10-05T00:00:00.000Z,SQL databases
2025-09-28T00:00:00.000Z,Commenting on an issue
2025-09-28T00:00:00.000Z,Defining and identifying remotes
2025-07-21T00:00:00.000Z,Is it a true story?
2025-11-21T00:00:00.000Z,Querying the dimensional model (1)
2025-10-11T00:00:00.000Z,All together now (1)
2025-07-18T00:00:00.000Z,Subsetting rows with .query() (1)
2025-08-11T00:00:00.000Z,Finding outliers using IQR (1)
2025-08-17T00:00:00.000Z,Adding categories
2025-10-11T00:00:00.000Z,Comparing a country to itself (2)
2025-10-06T00:00:00.000Z,Sorting single fields (2)
2025-08-12T00:00:00.000Z,Simulating wait times
2025-09-24T00:00:00.000Z,Scraping the NASDAQ
2025-08-12T00:00:00.000Z,Modeling time between leads (1)
2025-09-04T00:00:00.000Z,Cross-validation
2025-09-09T00:00:00.000Z,Dimension reduction with PCA
2025-08-31T00:00:00.000Z,Testing sample size
2025-07-13T00:00:00.000Z,Similar restaurants (2)
2025-08-11T00:00:00.000Z,Generating hypotheses
2025-07-15T00:00:00.000Z,CSV to DataFrame (2)
2025-09-28T00:00:00.000Z,Merge conflicts
2025-09-09T00:00:00.000Z,Recommend musical artists part II
2025-07-29T00:00:00.000Z,Point plots
2025-10-11T00:00:00.000Z,Subquery inside WHERE (1)
2025-08-17T00:00:00.000Z,Reordering categories in a Series (3)
2025-09-09T00:00:00.000Z,Correlated data in nature
2025-08-16T00:00:00.000Z,Creating datetimes by hand
2025-09-24T00:00:00.000Z,Measuring decorator overhead
2025-07-31T00:00:00.000Z,Dealing with missing data (1)
2025-07-29T00:00:00.000Z,Introduction to relational plots and subplots
2025-07-17T00:00:00.000Z,What column to merge on?
2025-07-25T00:00:00.000Z,Do's and don'ts
2025-07-11T00:00:00.000Z,Importing different datatypes
2025-09-21T00:00:00.000Z,Crafting a docstring (4)
2025-08-11T00:00:00.000Z,Mean vs. median (3)
2025-11-17T00:00:00.000Z,RENAME and DROP COLUMNs in affiliations
2025-07-06T00:00:00.000Z,Categories of errors
2025-08-19T00:00:00.000Z,Measuring logistic model performance
2025-08-20T00:00:00.000Z,Comparing point estimates (3)
2025-07-14T00:00:00.000Z,Cumulative statistics
2025-10-11T00:00:00.000Z,Inspecting a relationship (1)
2025-10-05T00:00:00.000Z,Using OR (1)
2025-08-13T00:00:00.000Z,Transforming variables (1)
2025-06-30T00:00:00.000Z,Basic plots with Matplotlib
2025-08-31T00:00:00.000Z,Wilcoxon-Mann-Whitney
2025-09-28T00:00:00.000Z,Benefits of GitHub
2025-09-02T00:00:00.000Z,Heatmap of campaign interactions (2)
2025-08-17T00:00:00.000Z,Reordering categories in a Series (2)
2025-07-03T00:00:00.000Z,Random Numbers
2025-08-06T00:00:00.000Z,Visualizing relationships over time (1)
2025-07-29T00:00:00.000Z,Switching between styles (2)
2025-08-21T00:00:00.000Z,Generating a bootstrap distribution
2025-08-18T00:00:00.000Z,Bar plot using hue (4)
2025-08-18T00:00:00.000Z,Create a label encoding and map (4)
2025-09-09T00:00:00.000Z,NMF learns the parts of images
2025-07-02T00:00:00.000Z,Filtering pandas DataFrames
2025-08-13T00:00:00.000Z,Transforming variables (2)
2025-08-19T00:00:00.000Z,The limits of prediction
2025-11-22T00:00:00.000Z,Normalized and denormalized databases
2025-10-11T00:00:00.000Z,The ins and outs of INNER JOIN
2025-08-17T00:00:00.000Z,Loading a csv file in Pandas
2025-07-29T00:00:00.000Z,Encoding time by color
2025-11-18T00:00:00.000Z,Model more complex relationships
2025-11-17T00:00:00.000Z,Delete tables with DROP TABLE
2025-08-16T00:00:00.000Z,Recreating ISO format with strftime()
2025-08-26T00:00:00.000Z,Test for single proportions (2)
2025-10-04T00:00:00.000Z,2FA in GitHub Organizations
2025-10-11T00:00:00.000Z,Comparing joins (3)
2025-07-13T00:00:00.000Z,Missing investors (4)
2025-07-16T00:00:00.000Z,List comprehensions for time-stamped data
2025-07-17T00:00:00.000Z,Performing an anti join
2025-07-18T00:00:00.000Z,Selecting data with .query()
2025-07-15T00:00:00.000Z,Nested Functions II
2025-08-21T00:00:00.000Z,Calculating confidence intervals (2)
2025-09-21T00:00:00.000Z,Prepare the ground
2025-08-13T00:00:00.000Z,Relationships between variables (1)
2025-08-26T00:00:00.000Z,Test for single proportions
2025-10-11T00:00:00.000Z,Remembering what is LEFT
2025-07-17T00:00:00.000Z,How many rows with a left join?
2025-08-20T00:00:00.000Z,Replicating samples
2025-10-05T00:00:00.000Z,Using AND (2)
2025-08-11T00:00:00.000Z,Categorizing salaries (2)
2025-08-19T00:00:00.000Z,Visualizing linear and logistic models (1)
2025-07-11T00:00:00.000Z,Why we like flat files and the Zen of Python
2025-07-29T00:00:00.000Z,Creating subplots with col and row (1)
2025-07-18T00:00:00.000Z,Using .melt() for stocks vs bond performance
2025-10-05T00:00:00.000Z,LIKE and NOT LIKE
2025-07-13T00:00:00.000Z,Uniform currencies
2025-09-02T00:00:00.000Z,Analytical normality in an agricultural experiment
2025-08-20T00:00:00.000Z,Exact sampling distribution (3)
2025-07-25T00:00:00.000Z,In summary
2025-07-01T00:00:00.000Z,Create dictionary
2025-07-18T00:00:00.000Z,Subsetting rows with .query() (2)
2025-08-26T00:00:00.000Z,Performing a chi-square test (2)
2025-07-11T00:00:00.000Z,How to import SAS7BDAT
2025-07-17T00:00:00.000Z,One-to-many merge with multiple tables (3)
2025-09-18T00:00:00.000Z,Evaluate the regression tree
2025-09-18T00:00:00.000Z,Evaluate the classification tree
2025-09-04T00:00:00.000Z,Measuring model performance
2025-09-18T00:00:00.000Z,Evaluate the 10-fold CV error
2025-07-06T00:00:00.000Z,Removing titles and taking names
2025-08-12T00:00:00.000Z,Tracking lead responses (1)
2025-08-19T00:00:00.000Z,Linear regression with ols() (1)
2025-10-06T00:00:00.000Z,Sorting multiple fields (2)
2025-07-01T00:00:00.000Z,loc and iloc (3)
2025-07-22T00:00:00.000Z,Should we meet?
2025-08-11T00:00:00.000Z,Descriptive and inferential statistics
2025-09-18T00:00:00.000Z,Generalization Error
2025-07-29T00:00:00.000Z,Plotting subgroups in line plots (2)
2025-08-19T00:00:00.000Z,Predicting house prices (2)
2025-11-18T00:00:00.000Z,ADD key CONSTRAINTs to the tables
2025-09-03T00:00:00.000Z,Applying Tukey's HSD
2025-07-16T00:00:00.000Z,Filter() and lambda functions
2025-09-21T00:00:00.000Z,Docstrings
2025-08-16T00:00:00.000Z,Turning strings into datetimes (1)
2025-08-18T00:00:00.000Z,Memory usage knowledge check
2025-09-28T00:00:00.000Z,GitHub or Git
2025-09-18T00:00:00.000Z,Ensemble Learning
2025-07-14T00:00:00.000Z,Pivoting on one variable
2025-10-05T00:00:00.000Z,Formatting
2025-09-04T00:00:00.000Z,The ROC curve
2025-09-26T00:00:00.000Z,Checking the version of Git
2025-08-18T00:00:00.000Z,Using saved mappings
2025-10-05T00:00:00.000Z,Using AND (1)
2025-11-17T00:00:00.000Z,Conforming with data types
2025-07-17T00:00:00.000Z,Do sequels earn more? (2)
2025-07-21T00:00:00.000Z,Building a story
2025-08-17T00:00:00.000Z,Removing categories (3)
2025-09-28T00:00:00.000Z,Repo sections
2025-07-17T00:00:00.000Z,Other joins
2025-08-20T00:00:00.000Z,Calculating relative errors (2)
2025-09-09T00:00:00.000Z,Cluster labels in hierarchical clustering
2025-07-28T00:00:00.000Z,Statistical plotting
2025-07-16T00:00:00.000Z,Writing a function to help you
2025-10-11T00:00:00.000Z,Calling all set operators
2025-09-09T00:00:00.000Z,t-SNE for 2-dimensional maps
2025-07-08T00:00:00.000Z,Hello Python!
2025-07-27T00:00:00.000Z,Plotting time-series data
2025-07-14T00:00:00.000Z,Slicing in both directions
2025-08-26T00:00:00.000Z,proportions_ztest() for two samples (2)
2025-09-21T00:00:00.000Z,Regression with SGB
2025-07-16T00:00:00.000Z,Writing a generator to load data in chunks (3)
2025-08-13T00:00:00.000Z,Longitudinal vs. cross-sectional studies
2025-10-05T00:00:00.000Z,Aliasing with functions (2)
2025-08-19T00:00:00.000Z,Visualizing numeric vs. categorical
2025-07-15T00:00:00.000Z,Scope and user-defined functions
2025-08-18T00:00:00.000Z,Review catplot() types
2025-07-16T00:00:00.000Z,List comprehensions vs. generators
2025-07-17T00:00:00.000Z,Inner joins and number of rows returned (2)
2025-08-18T00:00:00.000Z,Overcoming pitfalls: string issues (3)
2025-08-21T00:00:00.000Z,Population & sampling distribution means
2025-07-28T00:00:00.000Z,Creating histograms
2025-07-18T00:00:00.000Z,Correlation between GDP and S&P500 (1)
2025-09-04T00:00:00.000Z,Creating features
2025-08-21T00:00:00.000Z,Bootstrap statistics and population statistics
2025-08-21T00:00:00.000Z,Visualizing the difference (1)
2025-09-28T00:00:00.000Z,Comparing flavors
2025-09-26T00:00:00.000Z,Understanding servers
2025-09-25T00:00:00.000Z,Tag your functions
2025-08-26T00:00:00.000Z,Test of two proportions (3)
2025-08-12T00:00:00.000Z,Probabilities from the normal distribution
2025-08-21T00:00:00.000Z,Calculating p-values (2)
2025-07-11T00:00:00.000Z,Using h5py to import HDF5 files
2025-08-11T00:00:00.000Z,"Quartiles, quantiles, and quintiles (2)"
2025-07-29T00:00:00.000Z,Adjusting the whiskers (3)
2025-08-19T00:00:00.000Z,Linear regression with a categorical explanatory variable (1)
2025-09-21T00:00:00.000Z,Pass by assignment
2025-07-14T00:00:00.000Z,Counting
2025-07-11T00:00:00.000Z,Pop quiz: what exactly are flat files?
2025-07-28T00:00:00.000Z,Using a time index to zoom in
2025-11-18T00:00:00.000Z,Change the referential integrity behavior of a key (1)
2025-09-24T00:00:00.000Z,The timer() context manager
2025-10-04T00:00:00.000Z,Establishing a Secure Development Strategy
2025-08-19T00:00:00.000Z,Most likely outcome (2)
2025-09-24T00:00:00.000Z,Run_n_times()
2025-09-24T00:00:00.000Z,Real-world examples
2025-07-22T00:00:00.000Z,Salary on demand
2025-09-30T00:00:00.000Z,Organize the GitHub Workflow
2025-11-18T00:00:00.000Z,"Populate the ""professor_id"" column (3)"
2025-11-18T00:00:00.000Z,Get to know SELECT COUNT DISTINCT (2)
2025-09-09T00:00:00.000Z,How many clusters of grain?
2025-08-13T00:00:00.000Z,Math with dates
2025-09-24T00:00:00.000Z,Context manager use cases
2025-10-05T00:00:00.000Z,Data structures
2025-09-28T00:00:00.000Z,What is GitHub?
2025-09-03T00:00:00.000Z,Exploring customer satisfaction (2)
2025-08-19T00:00:00.000Z,"Outliers, leverage, and influence"
2025-07-14T00:00:00.000Z,Inspecting a DataFrame (4)
2025-09-09T00:00:00.000Z,NMF reconstructs samples
2025-09-21T00:00:00.000Z,Stochastic Gradient Boosting (SGB)
2025-09-02T00:00:00.000Z,Visual normality in an agricultural experiment (3)
2025-08-11T00:00:00.000Z,Calculating probabilities (2)
2025-07-29T00:00:00.000Z,Customizing bar plots (3)
2025-08-17T00:00:00.000Z,Setting dtypes and saving memory (4)
2025-11-18T00:00:00.000Z,Surrogate keys
2025-09-09T00:00:00.000Z,"Different linkage, different hierarchical clustering!"
2025-09-21T00:00:00.000Z,Tuning a CART's Hyperparameters
2025-07-08T00:00:00.000Z,Baseball players' height
2025-09-24T00:00:00.000Z,Preserving docstrings when decorating functions (4)
2025-09-24T00:00:00.000Z,Decorators
2025-11-21T00:00:00.000Z,Storing data
2025-09-04T00:00:00.000Z,How good is your model?
2025-09-03T00:00:00.000Z,Exploring customer satisfaction
2025-08-17T00:00:00.000Z,Removing categories (4)
2025-08-17T00:00:00.000Z,Course introduction
2025-11-21T00:00:00.000Z,Ordering ETL Tasks
2025-07-25T00:00:00.000Z,Put it into practice
2025-08-20T00:00:00.000Z,Calculating relative errors (1)
2025-08-19T00:00:00.000Z,Residual standard error (1)
2025-07-02T00:00:00.000Z,Add conditionals
2025-08-26T00:00:00.000Z,Two-sample proportion tests
2025-09-28T00:00:00.000Z,Querying the books table (1)
2025-09-26T00:00:00.000Z,Unstaging a file (3)
2025-10-11T00:00:00.000Z,Defining relationships
2025-10-11T00:00:00.000Z,Semi join (2)
2025-08-18T00:00:00.000Z,One-hot encoding
2025-08-19T00:00:00.000Z,Linear regression with ols() (3)
2025-07-06T00:00:00.000Z,Keeping it descriptive
2025-09-26T00:00:00.000Z,Unstaging a file (1)
2025-07-13T00:00:00.000Z,How's our data integrity? (1)
2025-07-08T00:00:00.000Z,Your first Python code
2025-08-16T00:00:00.000Z,Time zone database
2025-10-05T00:00:00.000Z,SQL best practices
2025-07-08T00:00:00.000Z,Subset and conquer
2025-07-16T00:00:00.000Z,Introduction to generator expressions
2025-07-16T00:00:00.000Z,Iterating over iterables (1)
2025-08-31T00:00:00.000Z,Assumptions in hypothesis testing
2025-07-31T00:00:00.000Z,Initial exploration
2025-09-24T00:00:00.000Z,The number of cats
2025-09-02T00:00:00.000Z,Experimental data setup
2025-08-03T00:00:00.000Z,Identifying outliers (1)
2025-08-17T00:00:00.000Z,"It's getting cold outside, W20529 (2)"
2025-09-24T00:00:00.000Z,Using decorator syntax (2)
2025-09-28T00:00:00.000Z,Making queries DISTINCT (1)
2025-07-03T00:00:00.000Z,Loop over DataFrame (2)
2025-08-21T00:00:00.000Z,Conducting an ANOVA test (2)
2025-10-05T00:00:00.000Z,Cloud computing
2025-09-24T00:00:00.000Z,Print the return type
2025-11-18T00:00:00.000Z,Referential integrity violations
2025-08-20T00:00:00.000Z,Which sampling method?
2025-10-11T00:00:00.000Z,Attributes of relational databases
2025-08-19T00:00:00.000Z,Transforming the response variable too (3)
2025-07-17T00:00:00.000Z,Concatenating with keys
2025-07-08T00:00:00.000Z,Extend a list
2025-07-18T00:00:00.000Z,Correlation between GDP and S&P500
2025-10-04T00:00:00.000Z,Introduction to GitHub Administration
2025-07-29T00:00:00.000Z,Making a scatter plot with lists
2025-08-16T00:00:00.000Z,How many hours elapsed around daylight saving?
2025-07-02T00:00:00.000Z,if
2025-07-18T00:00:00.000Z,Select the right .melt() arguments
2025-08-13T00:00:00.000Z,Correlation
2025-09-03T00:00:00.000Z,Choosing the right statistical test
2025-07-18T00:00:00.000Z,Phillips curve using merge_ordered()
2025-09-26T00:00:00.000Z,Viewing the version history
2025-07-02T00:00:00.000Z,while loop
2025-07-14T00:00:00.000Z,Sorting by index values
2025-09-24T00:00:00.000Z,Reviewing your co-worker's code (1)
2025-07-06T00:00:00.000Z,Summing strings and concatenating numbers
2025-10-06T00:00:00.000Z,Sorting single fields (1)
2025-07-06T00:00:00.000Z,Uniformity
2025-07-13T00:00:00.000Z,How's our data integrity? (2)
2025-08-17T00:00:00.000Z,Cleaning variables (2)
2025-08-11T00:00:00.000Z,Expected value vs. sample mean
2025-11-18T00:00:00.000Z,ADD key CONSTRAINTs to the tables (2)
2025-07-05T00:00:00.000Z,Numeric data or ... ?
2025-10-05T00:00:00.000Z,Practice with aggregate functions (3)
2025-07-05T00:00:00.000Z,Distribution
2025-08-18T00:00:00.000Z,Create a label encoding and map
2025-07-14T00:00:00.000Z,Fill in missing values and sum values with pivot tables (2)
2025-09-02T00:00:00.000Z,Random assignment of subjects
2025-08-11T00:00:00.000Z,Categorizing salaries
2025-08-17T00:00:00.000Z,Setting dtype when reading data (4)
2025-07-18T00:00:00.000Z,Subsetting rows with .query() (3)
2025-08-21T00:00:00.000Z,Pairwise t-tests (2)
2025-07-29T00:00:00.000Z,Hue and scatter plots (2)
2025-09-03T00:00:00.000Z,Binary classification
2025-07-29T00:00:00.000Z,Where to go next
2025-07-16T00:00:00.000Z,Using * and zip to 'unzip'
2025-08-20T00:00:00.000Z,Replication parameters
2025-10-11T00:00:00.000Z,Diagnosing problems using anti join (1)
2025-09-26T00:00:00.000Z,Adding a file to the staging area
2025-07-13T00:00:00.000Z,Pairs of restaurants (1)
2025-10-11T00:00:00.000Z,Self joins
2025-07-13T00:00:00.000Z,Uniform dates (4)
2025-09-09T00:00:00.000Z,How many merges?
2025-07-17T00:00:00.000Z,Verifying integrity
2025-07-31T00:00:00.000Z,Dealing with missing data (3)
2025-08-21T00:00:00.000Z,Visualizing the difference (4)
2025-08-17T00:00:00.000Z,Accessing and filtering data
2025-07-16T00:00:00.000Z,Bringing it all together: testing your error handling skills
2025-07-11T00:00:00.000Z,Importing HDF5 files
2025-09-28T00:00:00.000Z,Setting up a repo
2025-08-11T00:00:00.000Z,Sampling deals (2)
2025-07-19T00:00:00.000Z,The story begins
2025-09-18T00:00:00.000Z,Evaluate the training error
2025-07-17T00:00:00.000Z,Merging on indexes
2025-07-15T00:00:00.000Z,Price of conventional vs. organic avocados (2)
2025-07-30T00:00:00.000Z,Rotating x-tick labels
2025-07-18T00:00:00.000Z,"merge_ordered() caution, multiple columns (1)"
2025-07-06T00:00:00.000Z,Back to the future
2025-11-18T00:00:00.000Z,What happens if you try to enter NULLs?
2025-07-29T00:00:00.000Z,Making a scatter plot with lists (1)
2025-08-19T00:00:00.000Z,Extracting leverage and influence
2025-07-16T00:00:00.000Z,Using conditionals in comprehensions (2)
2025-07-29T00:00:00.000Z,Plotting subgroups in line plots (3)
2025-07-11T00:00:00.000Z,Importing text files line by line
2025-12-01T00:00:00.000Z,Viewing views
2025-08-16T00:00:00.000Z,What time did the bike leave? (Global edition) (2)
2025-08-11T00:00:00.000Z,Checking for class imbalance
2025-09-21T00:00:00.000Z,Train the GB regressor
2025-10-06T00:00:00.000Z,Grouping data
2025-08-17T00:00:00.000Z,Setting dtypes and saving memory (1)
2025-08-18T00:00:00.000Z,Updating categorical plots (1)
2025-09-28T00:00:00.000Z,Personal Access Tokens (PAT)
2025-07-14T00:00:00.000Z,Sorting rows (3)
2025-07-08T00:00:00.000Z,Familiar functions
2025-07-29T00:00:00.000Z,Count plots (1)
2025-08-17T00:00:00.000Z,Adding categories (4)
2025-09-04T00:00:00.000Z,Hyperparameter tuning with RandomizedSearchCV
2025-07-15T00:00:00.000Z,CSV to DataFrame (4)
2025-11-18T00:00:00.000Z,Change the referential integrity behavior of a key (4)
2025-07-15T00:00:00.000Z,Removing missing values
2025-09-26T00:00:00.000Z,Comparing to the second most recent commit
2025-09-26T00:00:00.000Z,Creating a new repo (3)
2025-08-11T00:00:00.000Z,Cross-tabulation
2025-09-03T00:00:00.000Z,Effect size purpose
2025-09-02T00:00:00.000Z,Analytical normality in an agricultural experiment (4)
2025-11-18T00:00:00.000Z,Referential integrity
2025-09-09T00:00:00.000Z,Hierarchies of stocks
2025-07-18T00:00:00.000Z,Correlation between GDP and S&P500 (3)
2025-12-01T00:00:00.000Z,Normal forms
2025-07-14T00:00:00.000Z,Which avocado size is most popular?
2025-11-18T00:00:00.000Z,REFERENCE a table with a FOREIGN KEY (1)
2025-10-05T00:00:00.000Z,Using BETWEEN
2025-09-09T00:00:00.000Z,Evaluating a clustering
2025-08-19T00:00:00.000Z,Manually predicting house prices
2025-09-03T00:00:00.000Z,Choosing the right test: finance (4)
2025-07-31T00:00:00.000Z,Functions for initial exploration (3)
2025-08-20T00:00:00.000Z,Are these findings generalizable? (3)
2025-07-29T00:00:00.000Z,Changing style and palette (2)
2025-09-28T00:00:00.000Z,Create a repo
2025-10-05T00:00:00.000Z,Using WHERE with numbers (1)
2025-09-28T00:00:00.000Z,Creating a Personal Access Token (PAT)
2025-09-28T00:00:00.000Z,Making queries DISTINCT (2)
2025-08-21T00:00:00.000Z,Calculating p-values from t-statistics
2025-08-21T00:00:00.000Z,Population & sampling distribution means (1)
2025-07-18T00:00:00.000Z,Using .melt() to reshape government data
2025-08-16T00:00:00.000Z,Creating datetimes by hand (2)
2025-07-16T00:00:00.000Z,Conditional list comprehensions for time-stamped data
2025-07-01T00:00:00.000Z,Square Brackets (2)
2025-07-15T00:00:00.000Z,Functions with multiple default arguments
2025-09-28T00:00:00.000Z,Public or Private?
2025-07-28T00:00:00.000Z,Bar chart
2025-08-17T00:00:00.000Z,Cleaning variables (5)
2025-07-17T00:00:00.000Z,Your first inner join (2)
2025-07-11T00:00:00.000Z,Customizing your NumPy import
2025-09-03T00:00:00.000Z,Analyzing toy durability
2025-09-28T00:00:00.000Z,Creating new branches (3)
2025-08-19T00:00:00.000Z,Probabilities (2)
2025-07-29T00:00:00.000Z,Saving a file several times
2025-08-12T00:00:00.000Z,Tracking lead responses
2025-07-31T00:00:00.000Z,Strategies for remaining missing data (3)
2025-08-19T00:00:00.000Z,Estimate the slope
2025-07-31T00:00:00.000Z,Detecting data types
2025-07-10T00:00:00.000Z,Welcome to the course!
2025-10-05T00:00:00.000Z,Rounding results
2025-10-11T00:00:00.000Z,CREATE your first few TABLEs (2)
2025-08-19T00:00:00.000Z,Transforming the explanatory variable (2)
2025-08-03T00:00:00.000Z,Removing outliers (4)
2025-08-17T00:00:00.000Z,Removing categories (1)
2025-08-12T00:00:00.000Z,Calculating binomial probabilities (2)
2025-07-02T00:00:00.000Z,"and, or, not (2)"
2025-06-30T00:00:00.000Z,Interpretation
2025-07-17T00:00:00.000Z,One-to-many merge with multiple tables (2)
2025-08-12T00:00:00.000Z,The normal distribution
2025-11-18T00:00:00.000Z,REFERENCE a table with a FOREIGN KEY
2025-08-12T00:00:00.000Z,Data back-ups (1)
2025-08-06T00:00:00.000Z,Visualizing relationships over time (2)
2025-09-04T00:00:00.000Z,Overfitting and underfitting
2025-07-06T00:00:00.000Z,Categorical variables
2025-10-05T00:00:00.000Z,Using WHERE with numbers
2025-09-21T00:00:00.000Z,Split up a function
2025-11-18T00:00:00.000Z,Disallow NULL values with SET NOT NULL
2025-07-31T00:00:00.000Z,Summaries with .groupby() and .agg()
2025-07-08T00:00:00.000Z,Replace list elements
2025-09-24T00:00:00.000Z,The speed of cats
2025-08-19T00:00:00.000Z,Visualizing two numeric variables (2)
2025-07-28T00:00:00.000Z,Quantitative comparisons: histograms
2025-07-18T00:00:00.000Z,Using merge_asof()
2025-07-18T00:00:00.000Z,Explore financials with .query()
2025-07-08T00:00:00.000Z,Slicing and dicing
2025-08-18T00:00:00.000Z,Boxplot understanding
2025-10-11T00:00:00.000Z,All joins on deck
2025-08-19T00:00:00.000Z,Transforming the response variable too
2025-08-06T00:00:00.000Z,Exploring with KDE plots
2025-09-21T00:00:00.000Z,Evaluate the optimal tree
2025-08-13T00:00:00.000Z,Relationships between variables (3)
2025-08-11T00:00:00.000Z,Creating a probability distribution (3)
2025-07-06T00:00:00.000Z,Inconsistent categories (3)
2025-08-20T00:00:00.000Z,Exact sampling distribution (1)
2025-07-16T00:00:00.000Z,Writing a generator to load data in chunks (2)
2025-12-01T00:00:00.000Z,Converting to 2NF (2)
2025-07-06T00:00:00.000Z,Inconsistent categories
2025-08-12T00:00:00.000Z,Probabilities from the normal distribution (4)
2025-09-21T00:00:00.000Z,Adaboost
2025-07-06T00:00:00.000Z,Finding consistency (4)
2025-09-02T00:00:00.000Z,Randomized block design: controlling variance
2025-09-03T00:00:00.000Z,Applying Bonferoni correction
2025-10-05T00:00:00.000Z,Practice with COUNT()
2025-10-11T00:00:00.000Z,INTERSECT
2025-08-06T00:00:00.000Z,Visualizing multiple variable relationships
2025-07-31T00:00:00.000Z,Validating continents (2)
2025-07-30T00:00:00.000Z,Adding titles and labels: Part 2
2025-09-28T00:00:00.000Z,Fetching from a remote
2025-09-03T00:00:00.000Z,Check for heteroscedasticity in shelf life
2025-09-28T00:00:00.000Z,Querying the books table
2025-07-14T00:00:00.000Z,Subsetting rows (2)
2025-08-13T00:00:00.000Z,What can't correlation measure? (3)
2025-08-11T00:00:00.000Z,Variance and standard deviation
2025-09-21T00:00:00.000Z,Congratulations!
2025-11-21T00:00:00.000Z,Database design
2025-07-21T00:00:00.000Z,Be aware
2025-09-09T00:00:00.000Z,Inspect your clustering
2025-07-17T00:00:00.000Z,Inner joins and number of rows returned (1)
2025-08-31T00:00:00.000Z,Wilcoxon signed-rank test
2025-07-11T00:00:00.000Z,Filtering your database records using SQL's WHERE
2025-07-14T00:00:00.000Z,Subsetting columns (3)
2025-09-28T00:00:00.000Z,Making queries DISTINCT
2025-09-03T00:00:00.000Z,Choosing the right test: petrochemicals (4)
2025-09-09T00:00:00.000Z,Clustering Wikipedia part I
2025-07-11T00:00:00.000Z,Importing SAS files
2025-07-29T00:00:00.000Z,Omitting outliers
2025-08-17T00:00:00.000Z,Setting dtypes and saving memory
2025-09-28T00:00:00.000Z,Creating a README
2025-08-20T00:00:00.000Z,Exact sampling distribution (2)
2025-07-13T00:00:00.000Z,Similar restaurants (4)
2025-11-18T00:00:00.000Z,CONCATenate columns to a surrogate key (4)
2025-10-11T00:00:00.000Z,CREATE your first few TABLEs (1)
2025-08-20T00:00:00.000Z,Equal counts stratified sampling
2025-08-12T00:00:00.000Z,The Poisson distribution
2025-07-29T00:00:00.000Z,Using pandas with Seaborn
2025-10-11T00:00:00.000Z,All together now (4)
2025-09-12T00:00:00.000Z,Decision tree for classification
2025-09-26T00:00:00.000Z,Converting an existing project
2025-07-28T00:00:00.000Z,Using a plotting function
2025-10-11T00:00:00.000Z,Subquery inside SELECT (2)
2025-07-17T00:00:00.000Z,Your first inner join (1)
2025-08-26T00:00:00.000Z,Performing a goodness of fit test
2025-08-19T00:00:00.000Z,Why you need logistic regression
2025-07-11T00:00:00.000Z,Advanced querying: exploiting table relationships
2025-07-31T00:00:00.000Z,Flight duration categories
2025-07-29T00:00:00.000Z,Point plots with subgroups (1)
2025-10-05T00:00:00.000Z,Who is it
2025-07-11T00:00:00.000Z,The Hello World of SQL Queries!
2025-10-05T00:00:00.000Z,Debugging errors (2)
2025-11-17T00:00:00.000Z,Change types with ALTER COLUMN (1)
