completed_at,exercise_title
2025-07-31T00:00:00.000Z,Summaries with .groupby() and .agg() (2)
2025-07-29T00:00:00.000Z,Using a custom palette
2025-07-01T00:00:00.000Z,"Dictionaries, Part 1"
2025-07-28T00:00:00.000Z,Adding error-bars to a plot
2025-07-14T00:00:00.000Z,Subsetting columns
2025-09-02T00:00:00.000Z,Implementing a randomized block design
2025-11-18T00:00:00.000Z,Change the referential integrity behavior of a key (2)
2025-06-30T00:00:00.000Z,Line Plot (2): Interpretation
2025-09-04T00:00:00.000Z,Regression performance
2025-08-17T00:00:00.000Z,How many joyrides?
2025-10-05T00:00:00.000Z,Practice with aggregate functions (4)
2025-08-20T00:00:00.000Z,Calculating relative errors
2025-10-06T00:00:00.000Z,Sorting multiple fields
2025-07-31T00:00:00.000Z,Global unemployment in 2021
2025-11-18T00:00:00.000Z,Add a SERIAL surrogate key (3)
2025-09-02T00:00:00.000Z,Visualizing productivity within blocks by incentive
2025-09-03T00:00:00.000Z,Choosing the right test: finance (1)
2025-08-17T00:00:00.000Z,Cleaning variables (3)
2025-07-16T00:00:00.000Z,List comprehensions
2025-08-11T00:00:00.000Z,Calculating probabilities (3)
2025-08-11T00:00:00.000Z,Choosing a hypothesis
2025-09-26T00:00:00.000Z,Saving files (1)
2025-08-26T00:00:00.000Z,Performing a goodness of fit test (2)
2025-10-11T00:00:00.000Z,CREATE your first few TABLEs
2025-08-18T00:00:00.000Z,Creating a count plot
2025-09-02T00:00:00.000Z,Factorial designs and randomized block designs
2025-08-06T00:00:00.000Z,Visualizing variable relationships
2025-09-09T00:00:00.000Z,Evaluating the grain clustering
2025-07-17T00:00:00.000Z,Self join (3)
2025-07-29T00:00:00.000Z,Automate your visualization
2025-10-05T00:00:00.000Z,Using BETWEEN (2)
2025-10-11T00:00:00.000Z,Inspecting a relationship (3)
2025-07-02T00:00:00.000Z,Comparison Operators
2025-10-11T00:00:00.000Z,Subquery inside FROM
2025-08-16T00:00:00.000Z,What time did the bike leave in UTC?
2025-07-14T00:00:00.000Z,Efficient summaries
2025-07-11T00:00:00.000Z,Importing flat files using NumPy
2025-08-31T00:00:00.000Z,Testing sample size (4)
2025-07-05T00:00:00.000Z,Implement clumsiness
2025-10-05T00:00:00.000Z,Querying a database
2025-07-29T00:00:00.000Z,Interpreting line plots (1)
2025-09-21T00:00:00.000Z,Search for the optimal forest
2025-08-17T00:00:00.000Z,Cleaning variables (4)
2025-11-17T00:00:00.000Z,Type CASTs
2025-07-29T00:00:00.000Z,Save a figure with different sizes
2025-09-03T00:00:00.000Z,Visualizing loan approval yield (1)
2025-07-15T00:00:00.000Z,Missing values
2025-08-21T00:00:00.000Z,Confidence interval interpretation
2025-09-28T00:00:00.000Z,Deleting branches
2025-07-31T00:00:00.000Z,Functions for initial exploration (1)
2025-07-16T00:00:00.000Z,Using pandas' read_csv iterator for streaming data
2025-07-02T00:00:00.000Z,Customize further: elif
2025-07-17T00:00:00.000Z,Concatenation basics (2)
2025-07-05T00:00:00.000Z,Data type constraints
2025-08-19T00:00:00.000Z,Probabilities
2025-09-04T00:00:00.000Z,k-Nearest Neighbors: Predict
2025-11-22T00:00:00.000Z,Querying the star schema
2025-07-14T00:00:00.000Z,Introducing DataFrames
2025-10-05T00:00:00.000Z,ROUND() with a negative parameter
2025-10-05T00:00:00.000Z,LIKE and NOT LIKE (1)
2025-09-04T00:00:00.000Z,Congratulations
2025-07-11T00:00:00.000Z,What are the tables in the database?
2025-09-04T00:00:00.000Z,Hyperparameter tuning with GridSearchCV
2025-09-28T00:00:00.000Z,Managing branches
2025-08-17T00:00:00.000Z,Setting dtype when reading data
2025-09-24T00:00:00.000Z,HTML Generator (4)
2025-07-29T00:00:00.000Z,Changing style and palette (3)
2025-07-08T00:00:00.000Z,Operations with other types (2)
2025-06-30T00:00:00.000Z,Customization
2025-10-04T00:00:00.000Z,All Roles Together
2025-08-31T00:00:00.000Z,Congratulations!
2025-08-11T00:00:00.000Z,Mean vs. median
2025-08-16T00:00:00.000Z,What time did the bike leave? (Global edition) (3)
2025-08-19T00:00:00.000Z,Plotting consecutive portfolio returns
2025-08-17T00:00:00.000Z,Categorical data in pandas
2025-07-14T00:00:00.000Z,Slicing index values
2025-10-05T00:00:00.000Z,SELECT DISTINCT
2025-09-02T00:00:00.000Z,Setting up experiments
2025-08-19T00:00:00.000Z,Visualizing two numeric variables (1)
2025-08-18T00:00:00.000Z,Bar plot using hue (2)
2025-09-03T00:00:00.000Z,Choosing the right test: petrochemicals
2025-07-25T00:00:00.000Z,Customizing your plots
2025-10-05T00:00:00.000Z,Congratulations!
2025-09-03T00:00:00.000Z,Choosing the right test: human resources (4)
2025-09-26T00:00:00.000Z,Finding the log message
2025-07-11T00:00:00.000Z,Using pandas to import flat files as DataFrames (2)
2025-07-17T00:00:00.000Z,Performing an anti join (2)
2025-09-21T00:00:00.000Z,Train the AdaBoost classifier
2025-07-03T00:00:00.000Z,Loop over NumPy array
2025-07-25T00:00:00.000Z,An effective plan!
2025-11-18T00:00:00.000Z,JOIN tables linked by a foreign key
2025-08-12T00:00:00.000Z,Which distribution?
2025-07-08T00:00:00.000Z,Functions
2025-07-01T00:00:00.000Z,"Pandas, Part 1"
2025-10-05T00:00:00.000Z,Pipeline
2025-07-02T00:00:00.000Z,Cars per capita (2)
2025-07-29T00:00:00.000Z,Introduction to line plots
2025-09-09T00:00:00.000Z,The first principal component
2025-07-17T00:00:00.000Z,Do sequels earn more? (4)
2025-09-03T00:00:00.000Z,Choosing the right test: human resources (3)
2025-12-01T00:00:00.000Z,Converting to 1NF (1)
2025-08-31T00:00:00.000Z,Testing sample size (1)
2025-09-24T00:00:00.000Z,Closures keep your values safe (2)
2025-08-12T00:00:00.000Z,Simulating sales deals (1)
2025-11-18T00:00:00.000Z,Explore foreign key constraints
2025-08-19T00:00:00.000Z,Coefficient of determination
2025-07-17T00:00:00.000Z,Left join
2025-11-21T00:00:00.000Z,Deciding fact and dimension tables (1)
2025-07-16T00:00:00.000Z,Introduction to iterators
2025-08-06T00:00:00.000Z,Updating data type to DateTime
2025-07-25T00:00:00.000Z,Small multiples
2025-09-09T00:00:00.000Z,Extracting the cluster labels
2025-09-03T00:00:00.000Z,Anxiety treatments ANOVA (2)
2025-09-28T00:00:00.000Z,SQL strengths
2025-09-09T00:00:00.000Z,Explore the LED digits dataset
2025-07-08T00:00:00.000Z,Variable Assignment
2025-09-28T00:00:00.000Z,Modifying and comparing branches
2025-09-18T00:00:00.000Z,Linear regression vs regression tree
2025-08-18T00:00:00.000Z,Updating categorical plots (2)
2025-07-02T00:00:00.000Z,Boolean Operators
2025-08-19T00:00:00.000Z,Odds ratio
2025-12-01T00:00:00.000Z,Converting to 2NF
2025-07-06T00:00:00.000Z,Data range constraints
2025-08-18T00:00:00.000Z,Overcoming pitfalls: using NumPy arrays (2)
2025-10-11T00:00:00.000Z,Multiple WHERE clauses
2025-09-24T00:00:00.000Z,Run_n_times() (2)
2025-11-22T00:00:00.000Z,Updating countries (1)
2025-08-20T00:00:00.000Z,Systematic sampling (2)
2025-09-21T00:00:00.000Z,Visualizing features importances
2025-10-11T00:00:00.000Z,Tables: At the core of every database
2025-07-13T00:00:00.000Z,Uniform dates (2)
2025-07-21T00:00:00.000Z,On a payroll
2025-07-29T00:00:00.000Z,Changing the style of scatter plot points
2025-07-17T00:00:00.000Z,Inner joins and number of rows returned
2025-10-05T00:00:00.000Z,Debugging errors (3)
2025-07-16T00:00:00.000Z,Using Python generators for streaming data
2025-10-04T00:00:00.000Z,Understanding InnerSource
2025-08-30T00:00:00.000Z,Sub-totals
2025-08-20T00:00:00.000Z,Weighted sampling (1)
2025-07-16T00:00:00.000Z,Zipping dictionaries
2025-07-29T00:00:00.000Z,Changing the size of scatter plot points (1)
2025-07-29T00:00:00.000Z,Introduction to Seaborn
2025-08-19T00:00:00.000Z,Modeling consecutive returns (1)
2025-09-18T00:00:00.000Z,Decision tree for regression
2025-08-21T00:00:00.000Z,From t to p (1)
2025-08-13T00:00:00.000Z,Design of experiments
2025-11-22T00:00:00.000Z,Running from star to snowflake
2025-08-19T00:00:00.000Z,Transforming variables
2025-09-28T00:00:00.000Z,Reducing the risk of conflict
2025-10-11T00:00:00.000Z,UNION vs. UNION ALL
2025-11-18T00:00:00.000Z,"Populate the ""professor_id"" column (1)"
2025-09-04T00:00:00.000Z,Train/test split + computing accuracy
2025-09-24T00:00:00.000Z,Run_n_times() (3)
2025-08-16T00:00:00.000Z,Dates and times
2025-09-21T00:00:00.000Z,"DRY and ""Do One Thing"""
