created_at,workbook_title,workbook_id
2025-07-14T11:19:08.000Z,Project: Exploring NYC Public School Test Result Scores,99b44b6d-a75b-432a-b5a3-8ebd05d4c67e
2025-10-11T17:20:49.000Z,Project: Analyzing Students' Mental Health,b11966cb-9182-4d40-95c5-7afacaaabc5f
2025-07-21T16:12:24.000Z,Project: Exploring Airbnb Market Trends,13cf815f-f512-42d7-9e2e-36849db9388c
2025-09-04T23:46:11.000Z,Detecting Tuberculosis in X-Rays,bfb6d65b-ed63-498a-a6c3-30c967c52d69
2025-08-13T13:32:12.000Z,Project: Visualizing the History of Nobel Prize Winners,543e6b90-1d0c-46b4-ac23-db852cf35921
2025-07-07T21:27:58.000Z,Project: Investigating Netflix Movies,aaedd51f-f634-4ebd-882d-8951776f0e32
